Actor	Fell
FldObj_TreeRootTropicalParts_A_L_01	0
FldObj_TreeRootTropicalParts_A_L_02	0
FldObj_TreeRootTropicalParts_A_L_03	0
FldObj_TreeRootTropicalParts_A_L_04	0
FldObj_TreeRootTropical_A_L_01	0
FldObj_TreeRootTropical_A_L_01_Far	0
FldObj_TreeRootTropical_A_L_02	0
FldObj_TreeRootTropical_A_L_02_Far	0
FldObj_TreeRootTropical_A_L_03	0
FldObj_TreeRootTropical_A_L_03_Far	0
FldObj_TreeRootTropical_A_L_04	0
FldObj_TreeRootTropical_A_L_04_Far	0
FldObj_TreeRootTropical_A_M_01	0
FldObj_TreeRootTropical_A_M_02	0
FldObj_TreeRootTropical_A_M_03	0
FldObj_TreeRootTropical_A_M_03_Far	0
FldObj_TreeRootTropical_A_M_04	0
FldObj_TreeRootTropical_A_M_05	0
FldObj_TreeRootTropical_A_M_06	0
FldObj_TreeRootTropical_A_M_07	0
FldObj_TreeRootTropical_A_M_08	0
FldObj_TreeRootTropical_A_M_09	0
FldObj_TreeRootTropical_A_S_01	0
FldObj_TreeRootTropical_A_S_02	0
Obj_TreeApple_A_L_01	1
Obj_TreeApple_A_L_01_Stump	0
Obj_TreeApple_A_L_01_Trunk	0
Obj_TreeApple_A_M_01	1
Obj_TreeApple_A_M_01_Stump	0
Obj_TreeApple_A_M_01_Trunk	0
Obj_TreeBananaMini_A_01	1
Obj_TreeBanana_A_01	1
Obj_TreeBanana_A_01_Stump	0
Obj_TreeBanana_A_01_Trunk	0
Obj_TreeBaobab_A_01	0
Obj_TreeBaobab_A_02	0
Obj_TreeBaobab_A_03	0
Obj_TreeBroadleafDead_B_L_01	1
Obj_TreeBroadleafDead_B_L_01_Stump	0
Obj_TreeBroadleafDead_B_L_01_Trunk	0
Obj_TreeBroadleafFallenTree_A_M_01	0
Obj_TreeBroadleafFallenTree_A_S_01	0
Obj_TreeBroadleafHoleStump_B_L_01	0
Obj_TreeBroadleafLow_A_01	1
Obj_TreeBroadleafLow_A_02	1
Obj_TreeBroadleafLow_B_01	1
Obj_TreeBroadleafLow_B_02	1
Obj_TreeBroadleafLow_Branch_A_01	1
Obj_TreeBroadleafLow_Branch_A_02	1
Obj_TreeBroadleafLow_Branch_B_01	1
Obj_TreeBroadleafLow_Branch_B_02	1
Obj_TreeBroadleafLow_C_01	1
Obj_TreeBroadleafLow_C_02	1
Obj_TreeBroadleafLow_Snow_A_01	1
Obj_TreeBroadleafLow_Snow_A_02	1
Obj_TreeBroadleafMossStump_B_L_01	0
Obj_TreeBroadleafRoot_A_L_01	0
Obj_TreeBroadleafRoot_A_M_01	0
Obj_TreeBroadleafRoot_B_L_01	0
Obj_TreeBroadleafStumpMoss_A_01	0
Obj_TreeBroadleaf_A_L	1
Obj_TreeBroadleaf_A_LL	0
Obj_TreeBroadleaf_A_LL_02	0
Obj_TreeBroadleaf_A_LL_Nest_01	0
Obj_TreeBroadleaf_A_LL_Set_01	0
Obj_TreeBroadleaf_A_L_Stump	0
Obj_TreeBroadleaf_A_L_Trunk	0
Obj_TreeBroadleaf_A_SS	1
Obj_TreeBroadleaf_B_L_01	0
Obj_TreeBroadleaf_B_L_02	0
Obj_TreeBroadleaf_BossArea_A_L	1
Obj_TreeBroadleaf_BossArea_A_L_Stump	0
Obj_TreeBroadleaf_BossArea_A_L_Trunk	0
Obj_TreeBurned_A_01	1
Obj_TreeBurned_A_01_Stump	0
Obj_TreeBurned_A_01_Trunk	0
Obj_TreeBurned_A_02	1
Obj_TreeBurned_B_01	1
Obj_TreeBurned_B_01_Stump	0
Obj_TreeBurned_B_01_Trunk	0
Obj_TreeBurned_B_02	1
Obj_TreeBurned_B_02_Stump	0
Obj_TreeBurned_B_02_Trunk	0
Obj_TreeCactusMini_A_01	1
Obj_TreeCherry_A_01	0
Obj_TreeConiferousDead_A_01	1
Obj_TreeConiferousDead_A_01_Stump	0
Obj_TreeConiferousDead_A_01_Trunk	0
Obj_TreeConiferousDead_A_02	1
Obj_TreeConiferousDead_A_02_Stump	0
Obj_TreeConiferousDead_A_02_Trunk	0
Obj_TreeConiferousDead_A_Snow_01	1
Obj_TreeConiferousDead_A_Snow_01_Stump	0
Obj_TreeConiferousDead_A_Snow_01_Trunk	0
Obj_TreeConiferousLow_A_Snow_01	1
Obj_TreeConiferousLow_B_01	1
Obj_TreeConiferousSnowFallenTree_A_M_01	0
Obj_TreeConiferous_A_01	1
Obj_TreeConiferous_A_01_Stump	0
Obj_TreeConiferous_A_01_Trunk	0
Obj_TreeConiferous_A_02	1
Obj_TreeConiferous_A_02_Stump	0
Obj_TreeConiferous_A_02_Trunk	0
Obj_TreeConiferous_A_03	1
Obj_TreeConiferous_A_03_Stump	0
Obj_TreeConiferous_A_03_Trunk	0
Obj_TreeConiferous_A_04	1
Obj_TreeConiferous_A_04_Stump	0
Obj_TreeConiferous_A_04_Trunk	0
Obj_TreeConiferous_A_Snow_01	1
Obj_TreeConiferous_A_Snow_01_Stump	0
Obj_TreeConiferous_A_Snow_01_Trunk	0
Obj_TreeConiferous_A_Snow_02	1
Obj_TreeConiferous_A_Snow_02_Stump	0
Obj_TreeConiferous_A_Snow_02_Trunk	0
Obj_TreeConiferous_A_Snow_03	1
Obj_TreeConiferous_A_Snow_03_Stump	0
Obj_TreeConiferous_A_Snow_03_Trunk	0
Obj_TreeConiferous_C_01	1
Obj_TreeConiferous_C_01_Stump	0
Obj_TreeConiferous_C_01_Trunk	0
Obj_TreeConiferous_C_02	1
Obj_TreeConiferous_C_02_Stump	0
Obj_TreeConiferous_C_02_Trunk	0
Obj_TreeConiferous_C_03	1
Obj_TreeConiferous_C_03_Stump	0
Obj_TreeConiferous_C_03_Trunk	0
Obj_TreeDeadLeaf_A_01	1
Obj_TreeDeadLeaf_A_01_Stump	0
Obj_TreeDeadLeaf_A_01_Trunk	0
Obj_TreeDeadLeaf_A_LL_01	0
Obj_TreeDead_A_01	1
